OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
1,2023,ATL,44721151,44940145,340757,340435,320592384,17033732
2,2023,DEN,35892655,36089755,307789,307873,257037213,12698972
3,2023,DFW,33853033,33892107,297097,297129,442306764,22686642
4,2023,ORD,29305603,29379846,303030,302931,386208675,29107924
5,2023,LAS,26216256,26443518,202540,202475,89632420,2773334
6,2023,LAX,26090601,26238051,206862,207597,839943095,84523282
7,2023,MCO,24741803,24850596,173211,173170,159978671,9388429
8,2023,CLT,23811326,23850449,229491,229508,135037884,8241202
9,2023,PHX,22624711,22839703,194163,193969,313904054,10722282
10,2023,SEA,21814595,21824644,188020,188057,289647574,21823498
11,2023,SFO,17430769,17463802,140715,140711,198723454,17025869
12,2023,EWR,17292936,17305863,155862,154183,474401542,11216365
13,2023,IAH,16584020,16680987,161177,161231,314450720,14532148
14,2023,BOS,16110499,16122881,158573,158947,154638201,4895867
15,2023,MSP,15552291,15578893,139143,139610,169604305,9785506
16,2023,LGA,15243161,15243943,162666,162617,6230625,607467
17,2023,JFK,14313424,14327005,136529,136828,354994177,12371010
18,2023,MIA,14098955,14130365,109419,110449,383282162,13077590
19,2023,DTW,13866115,13889414,129328,129434,111796795,6270124
20,2023,FLL,13360269,13398436,94992,94596,95342461,2755681
21,2023,SLC,12277651,12325711,115156,114595,168377936,12238423
22,2023,BWI,12175468,12432912,101131,101349,219020511,3327948
23,2023,DCA,12160108,12190554,141311,141359,1176302,46
24,2023,PHL,11888190,11916371,117661,118036,391998786,9781345
25,2023,SAN,11739198,11873841,94317,94351,107906552,3519993
26,2023,TPA,11094452,11204186,86324,86317,135250652,5400050
27,2023,BNA,11029844,11266465,102409,102303,64949368,42888
28,2023,AUS,10336419,10601453,97336,97322,109158945,1024083
29,2023,MDW,10287721,10541877,84356,84304,19396908,271667
30,2023,HNL,8683570,8712287,84008,84342,403171072,48837780
31,2023,DAL,8552790,8876445,78580,78500,14438259,171210
32,2023,PDX,7746872,7757400,76692,77234,268899131,11417331
33,2023,IAD,7546375,7591255,79997,80397,96222856,1905159
34,2023,STL,7090532,7314688,70192,70238,75058788,79429
35,2023,RDU,6898810,6949266,64234,64443,76492817,2221762
36,2023,HOU,6319568,6545645,56537,56476,11606669,64606
37,2023,MSY,6190371,6279486,53282,53544,49765884,1541794
38,2023,SMF,6181416,6265950,57861,58125,119198128,749828
39,2023,SJC,5603226,5739903,54200,54069,36828707,2003
40,2023,MCI,5599391,5721382,52399,52450,110004470,2001070
41,2023,SNA,5524075,5543966,48705,48596,24451921,13125
42,2023,SJU,5356377,5369531,46433,45366,132448723,5717439
43,2023,OAK,5263628,5383898,58630,58705,540965049,6243037
44,2023,SAT,5025756,5122138,43710,43524,100109244,3038820
45,2023,RSW,4808645,4863541,36077,36007,17515300,3120
46,2023,IND,4745453,4800015,60368,59735,897236215,613100
47,2023,CLE,4698879,4731626,44295,44150,73541734,1585795
48,2023,PIT,4401834,4447483,49158,49233,77240108,3503051
49,2023,CVG,4180954,4203774,65037,65663,1348618837,335112
50,2023,CMH,4058660,4105440,43059,43087,5020841,1067258
51,2023,PBI,3784830,3807663,29227,29201,24909945,196
52,2023,JAX,3619011,3669716,32596,32799,68445114,3916139
53,2023,OGG,3592010,3606698,41434,41457,23053619,24635
54,2023,BUR,3131724,3216980,37363,37256,35072782,3294
55,2023,BDL,3069721,3078662,28733,28806,149194148,2418584
56,2023,CHS,3031368,3048762,29332,29982,6537904,2
57,2023,ONT,2971397,3029109,40119,39632,841106008,22754771
58,2023,MKE,2930774,2964828,31462,31217,57905325,121282
59,2023,ANC,2619004,2621473,62911,58030,-1689819240,96335407
60,2023,ABQ,2604961,2666871,28941,28901,54987443,184073
61,2023,OMA,2464275,2497082,25993,25908,48926933,1374234
62,2023,RIC,2398692,2417594,27771,27964,85167932,47657
63,2023,MEM,2397120,2427701,87507,85100,-395832323,9241741
64,2023,BOI,2368511,2378636,27240,27259,41116547,8181
65,2023,ORF,2307572,2320245,24374,24411,21751011,0
66,2023,BUF,2288407,2297108,24159,24225,34953197,0
67,2023,SDF,2267379,2306084,70607,69674,-1623898386,124977368
68,2023,RNO,2215758,2227713,23501,23310,68408487,899254
69,2023,OKC,2133840,2211347,24398,24526,29115060,9712
70,2023,SRQ,2127753,2139417,16413,16432,127281,0
71,2023,KOA,2055155,2061662,21244,21311,41430534,1187629
72,2023,GEG,2002246,2007243,23196,24996,68688560,3327
73,2023,ELP,1995590,2040339,21682,21929,90827994,9445
74,2023,TUS,1920614,1938221,18181,18192,30081806,0
75,2023,SAV,1907440,1923270,20072,20088,6255079,0
76,2023,GRR,1899233,1908353,19516,19319,37099317,0
77,2023,LGB,1836026,1922722,16977,16999,17959459,2296
78,2023,LIH,1799784,1800727,18376,18495,15552114,397549
79,2023,PVD,1731554,1736776,18601,18567,11273455,0
80,2023,MYR,1658944,1668710,15149,15188,801404,0
81,2023,TUL,1570663,1620553,19470,19475,52019674,0
82,2023,DSM,1518557,1536712,16298,16313,30771447,0
83,2023,BHM,1498202,1539102,18214,18362,17577099,9139
84,2023,PSP,1426980,1439191,14746,14754,320099,0
85,2023,SYR,1412664,1419788,17568,17611,41239651,904214
86,2023,SFB,1384293,1385916,9193,9196,0,0
87,2023,TYS,1382073,1391559,17876,17880,30805937,12800
88,2023,ALB,1376334,1386081,15891,16015,22993450,0
89,2023,PNS,1365908,1375782,13472,13494,4701780,303
90,2023,ROC,1324900,1330113,17368,17658,31512719,0
91,2023,GSP,1258495,1273977,15412,15545,28002142,0
92,2023,PIE,1237710,1238813,7973,7983,126302,0
93,2023,BZN,1229881,1232030,10630,10649,1856942,0
94,2023,COS,1184727,1239145,13302,13334,8655313,0
95,2023,HPN,1152881,1153288,17673,17652,2278,0
96,2023,AVL,1125467,1126000,12301,12302,7028,1251
97,2023,VPS,1116717,1118014,9140,9140,4379,3
98,2023,PWM,1114432,1114865,13083,12856,9111567,0
99,2023,LIT,1096748,1115262,14330,14317,12145481,0
100,2023,FAT,1039243,1042984,12066,12080,9937221,22140
101,2023,MSN,1037760,1041951,12645,12719,12157379,0
102,2023,XNA,972857,974364,13438,13443,32833,0
103,2023,PGD,949709,950516,5962,5966,0,0
104,2023,AZA,925461,927016,6008,5927,149222,0
105,2023,GSO,903476,910660,16136,15809,128622955,28051
106,2023,ICT,842987,867007,11925,11956,24068798,2913
107,2023,EUG,841916,842690,9511,9466,951387,0
108,2023,ECP,816474,823750,7604,7599,116,0
109,2023,HSV,723751,729263,12004,12011,32414160,23380
110,2023,STT,701396,701405,13923,14620,275691,0
111,2023,CID,690801,691974,9104,9109,36156110,0
112,2023,MAF,684271,700207,10049,10535,2339838,0
113,2023,ITO,684175,684329,9109,9123,13325009,2
114,2023,EYW,675236,675325,11616,11781,261465,0
115,2023,LEX,665252,665744,8892,8887,5994,0
116,2023,FSD,655230,657726,9405,9503,38492359,32639
117,2023,ILM,655115,657112,9029,9018,1327226,0
118,2023,MDT,654177,661148,9997,9799,60714170,0
119,2023,BTV,649014,649789,8960,9166,3143750,0
120,2023,MHT,644636,645839,9422,9446,87488263,3601530
121,2023,ISP,640874,644939,5069,5085,133345,0
122,2023,SBA,638496,648209,8452,8500,865641,0
