State,MSN,2023
AK,JFACB,126681
AK,JFACD,21.32
US,JFACB,3421522
US,JFTCB,3421522
US,JFACP,603443
US,JFTCP,603443
CA,JFACB,511450
CA,JFTCB,511450
FL,JFACB,326644
FL,JFTCB,326644
TX,JFACB,313881
TX,JFTCB,313881
NY,JFACB,269775
NY,JFTCB,269775
IL,JFACB,157929
IL,JFTCB,157929
GA,JFACB,128262
GA,JFTCB,128262
AK,JFTCB,126681
VA,JFACB,114487
VA,JFTCB,114487
WA,JFACB,110418
WA,JFTCB,110418
NJ,JFACB,108869
NJ,JFTCB,108869
HI,JFACB,95280
HI,JFTCB,95280
NC,JFACB,93802
NC,JFTCB,93802
CA,JFACP,90203
CA,JFTCP,90203
KY,JFACB,86144
KY,JFTCB,86144
TN,JFACB,84925
TN,JFTCB,84925
AZ,JFACB,79152
AZ,JFTCB,79152
NV,JFACB,79031
NV,JFTCB,79031
CO,JFACB,77522
CO,JFTCB,77522
US,JFACV,71503.2
US,JFTCV,71503.2
MA,JFACB,66723
MA,JFTCB,66723
PA,JFACB,62751
PA,JFTCB,62751
FL,JFACP,57609
FL,JFTCP,57609
TX,JFACP,55358
TX,JFTCP,55358
OH,JFACB,48425
OH,JFTCB,48425
MN,JFACB,47794
MN,JFTCB,47794
NY,JFACP,47579
NY,JFTCP,47579
OK,JFACB,47416
OK,JFTCB,47416
MI,JFACB,47045
MI,JFTCB,47045
UT,JFACB,43837
UT,JFTCB,43837
MD,JFACB,38062
MD,JFTCB,38062
OR,JFACB,29918
OR,JFTCB,29918
MO,JFACB,28864
MO,JFTCB,28864
IL,JFACP,27853
IL,JFTCP,27853
GA,JFACP,22621
GA,JFTCP,22621
IN,JFACB,22495
IN,JFTCB,22495
AK,JFACP,22342
AK,JFTCP,22342
LA,JFACB,20716
LA,JFTCB,20716
VA,JFACP,20192
VA,JFTCP,20192
WA,JFACP,19474
WA,JFTCP,19474
NJ,JFACP,19201
NJ,JFTCP,19201
SC,JFACB,18033
SC,JFTCB,18033
HI,JFACP,16804
HI,JFTCP,16804
NC,JFACP,16544
NC,JFTCP,16544
KY,JFACP,15193
KY,JFTCP,15193
TN,JFACP,14978
TN,JFTCP,14978
AZ,JFACP,13960
AZ,JFTCP,13960
NV,JFACP,13938
NV,JFTCP,13938
CO,JFACP,13672
CO,JFTCP,13672
WI,JFACB,12681
WI,JFTCB,12681
MA,JFACP,11768
MA,JFTCP,11768
AL,JFACB,11183
AL,JFTCB,11183
DE,JFACB,11082
DE,JFTCB,11082
PA,JFACP,11067
PA,JFTCP,11067
CA,JFACV,10685.5
CA,JFTCV,10685.5
CT,JFACB,9247
CT,JFTCB,9247
KS,JFACB,8748
KS,JFTCB,8748
ID,JFACB,8723
ID,JFTCB,8723
NM,JFACB,8582
NM,JFTCB,8582
OH,JFACP,8541
OH,JFTCP,8541
MS,JFACB,8513
MS,JFTCB,8513
MT,JFACB,8481
MT,JFTCB,8481
MN,JFACP,8429
MN,JFTCP,8429
OK,JFACP,8363
OK,JFTCP,8363
MI,JFACP,8297
MI,JFTCP,8297
UT,JFACP,7731
UT,JFTCP,7731
AR,JFACB,6841
AR,JFTCB,6841
MD,JFACP,6713
MD,JFTCP,6713
FL,JFACV,6594.9
FL,JFTCV,6594.9
TX,JFACV,6564.4
TX,JFTCV,6564.4
IA,JFACB,6474
IA,JFTCB,6474
NE,JFACB,6384
NE,JFTCB,6384
NH,JFACB,6242
NH,JFTCB,6242
NY,JFACV,5851.1
NY,JFTCV,5851.1
OR,JFACP,5277
OR,JFTCP,5277
ME,JFACB,5272
ME,JFTCB,5272
MO,JFACP,5091
MO,JFTCP,5091
ND,JFACB,4869
ND,JFTCB,4869
IN,JFACP,3967
IN,JFTCP,3967
SD,JFACB,3936
SD,JFTCB,3936
LA,JFACP,3654
LA,JFTCP,3654
IL,JFACV,3307.7
IL,JFTCV,3307.7
SC,JFACP,3180
SC,JFTCP,3180
WY,JFACB,3018
WY,JFTCB,3018
AK,JFACV,2701.3
AK,JFTCV,2701.3
GA,JFACV,2601.2
GA,JFTCV,2601.2
NJ,JFACV,2342.2
NJ,JFTCV,2342.2
WA,JFACV,2303.3
WA,JFTCV,2303.3
VA,JFACV,2301.1
VA,JFTCV,2301.1
WI,JFACP,2237
WI,JFTCP,2237
RI,JFACB,2154
RI,JFTCB,2154
AL,JFACP,1972
AL,JFTCP,1972
DE,JFACP,1954
DE,JFTCP,1954
HI,JFACV,1953.3
HI,JFTCV,1953.3
NC,JFACV,1903.1
NC,JFTCV,1903.1
KY,JFACV,1767
KY,JFTCV,1767
TN,JFACV,1762.4
TN,JFTCV,1762.4
CO,JFACV,1663.4
CO,JFTCV,1663.4
NV,JFACV,1659.2
NV,JFTCV,1659.2
AZ,JFACV,1650.8
AZ,JFTCV,1650.8
CT,JFACP,1631
CT,JFTCP,1631
KS,JFACP,1543
KS,JFTCP,1543
ID,JFACP,1539
ID,JFTCP,1539
NM,JFACP,1514
NM,JFTCP,1514
MS,JFACP,1501
MS,JFTCP,1501
MT,JFACP,1496
MT,JFTCP,1496
MA,JFACV,1438.4
MA,JFTCV,1438.4
WV,JFACB,1388
WV,JFTCB,1388
VT,JFACB,1372
VT,JFTCB,1372
PA,JFACV,1334.6
PA,JFTCV,1334.6
AR,JFACP,1207
AR,JFTCP,1207
IA,JFACP,1142
IA,JFTCP,1142
NE,JFACP,1126
NE,JFTCP,1126
NH,JFACP,1101
NH,JFTCP,1101
OH,JFACV,1023.3
OH,JFTCV,1023.3
