region_code;time;scaling_factor
AL;2030-01-01 00:00:00;1.1348067615810173
AL;2030-01-01 01:00:00;1.1270454675012518
AL;2030-01-01 02:00:00;1.124699063122965
AL;2030-01-01 03:00:00;1.1193325631798328
AL;2030-01-01 04:00:00;1.1185048894448335
AL;2030-01-01 05:00:00;1.1220917604144878
AL;2030-01-01 06:00:00;1.1249232776132458
AL;2030-01-01 07:00:00;1.1354549645951129
AL;2030-01-01 08:00:00;1.1521612318079113
AL;2030-01-01 09:00:00;1.1714367666055372
AL;2030-01-01 10:00:00;1.188286138683458
AL;2030-01-01 11:00:00;1.2127163068190137
AL;2030-01-01 12:00:00;1.224399059941685
AL;2030-01-01 13:00:00;1.2320255241932163
AL;2030-01-01 14:00:00;1.240928836818439
AL;2030-01-01 15:00:00;1.248146820763662
AL;2030-01-01 16:00:00;1.2365385012091052
AL;2030-01-01 17:00:00;1.2410524560992118
AL;2030-01-01 18:00:00;1.2507501013986841
AL;2030-01-01 19:00:00;1.2391982138197644
AL;2030-01-01 20:00:00;1.2238135368489753
AL;2030-01-01 21:00:00;1.2063191891505392
AL;2030-01-01 22:00:00;1.1832831544294076
AL;2030-01-01 23:00:00;1.1411548952572805
AL;2030-01-02 00:00:00;1.1206768896514805
AL;2030-01-02 01:00:00;1.1160075626151624
AL;2030-01-02 02:00:00;1.114893183651322
AL;2030-01-02 03:00:00;1.113497163592025
AL;2030-01-02 04:00:00;1.1157121603190654
AL;2030-01-02 05:00:00;1.1245901880617253
AL;2030-01-02 06:00:00;1.1397820680231892
AL;2030-01-02 07:00:00;1.1478247884250834
AL;2030-01-02 08:00:00;1.1482438266847086
AL;2030-01-02 09:00:00;1.1485291871082648
AL;2030-01-02 10:00:00;1.1531350298792957
AL;2030-01-02 11:00:00;1.163221270223318
AL;2030-01-02 12:00:00;1.1681240220586047
AL;2030-01-02 13:00:00;1.1744925349290525
AL;2030-01-02 14:00:00;1.1953672346917927
AL;2030-01-02 15:00:00;1.2234436952679757
AL;2030-01-02 16:00:00;1.246942542237811
AL;2030-01-02 17:00:00;1.2289379707442816
AL;2030-01-02 18:00:00;1.1876192870434692
AL;2030-01-02 19:00:00;1.1595853490029864
AL;2030-01-02 20:00:00;1.147929097224841
AL;2030-01-02 21:00:00;1.1370009786514916
AL;2030-01-02 22:00:00;1.1289647865437167
AL;2030-01-02 23:00:00;1.1222177559226592
AL;2030-01-03 00:00:00;1.1179065669154007
AL;2030-01-03 01:00:00;1.115615538417437
AL;2030-01-03 02:00:00;1.115492271274043
AL;2030-01-03 03:00:00;1.1149069518028676
AL;2030-01-03 04:00:00;1.1165798931926767
AL;2030-01-03 05:00:00;1.1249609965986924
AL;2030-01-03 06:00:00;1.145396322197566
AL;2030-01-03 07:00:00;1.1505874594341403
AL;2030-01-03 08:00:00;1.1479798655757874
AL;2030-01-03 09:00:00;1.14766801084913
AL;2030-01-03 10:00:00;1.1508738594185837
AL;2030-01-03 11:00:00;1.1604082937646212
AL;2030-01-03 12:00:00;1.1668266441447412
AL;2030-01-03 13:00:00;1.1735562324081528
AL;2030-01-03 14:00:00;1.1938342218544526
AL;2030-01-03 15:00:00;1.2213705308221947
AL;2030-01-03 16:00:00;1.2443831725124856
AL;2030-01-03 17:00:00;1.2235855361174381
AL;2030-01-03 18:00:00;1.1849276438705316
AL;2030-01-03 19:00:00;1.1600637123492916
AL;2030-01-03 20:00:00;1.1506140093955275
AL;2030-01-03 21:00:00;1.1375196024953163
AL;2030-01-03 22:00:00;1.1292170408817244
AL;2030-01-03 23:00:00;1.1235963306572994
AL;2030-01-04 00:00:00;1.1185223197931058
AL;2030-01-04 01:00:00;1.1162229999249786
AL;2030-01-04 02:00:00;1.1158091845128943
AL;2030-01-04 03:00:00;1.114819212490445
AL;2030-01-04 04:00:00;1.1164298361270206
AL;2030-01-04 05:00:00;1.12517348294133
AL;2030-01-04 06:00:00;1.150772361866226
AL;2030-01-04 07:00:00;1.1536404071192259
AL;2030-01-04 08:00:00;1.148319561288534
AL;2030-01-04 09:00:00;1.1474788243197294
AL;2030-01-04 10:00:00;1.1516156964116122
AL;2030-01-04 11:00:00;1.1622922382476755
AL;2030-01-04 12:00:00;1.169349335403923
AL;2030-01-04 13:00:00;1.1779785970111558
AL;2030-01-04 14:00:00;1.2024940647671463
AL;2030-01-04 15:00:00;1.2344878002156587
AL;2030-01-04 16:00:00;1.260112202351763
AL;2030-01-04 17:00:00;1.2372841341863428
AL;2030-01-04 18:00:00;1.1934305300456336
AL;2030-01-04 19:00:00;1.1648597938609186
AL;2030-01-04 20:00:00;1.154032500122758
AL;2030-01-04 21:00:00;1.1396289109819637
AL;2030-01-04 22:00:00;1.1307255998700636
AL;2030-01-04 23:00:00;1.123643675039113
AL;2030-01-05 00:00:00;1.1178585670356422
AL;2030-01-05 01:00:00;1.1145524477703226
AL;2030-01-05 02:00:00;1.1137804089589995
AL;2030-01-05 03:00:00;1.1125959962337186
AL;2030-01-05 04:00:00;1.1144448822845074
AL;2030-01-05 05:00:00;1.123926548684691
AL;2030-01-05 06:00:00;1.1447040725357194
AL;2030-01-05 07:00:00;1.1495476890616445
AL;2030-01-05 08:00:00;1.1485843880355986
AL;2030-01-05 09:00:00;1.1489708752641934
AL;2030-01-05 10:00:00;1.154321867369355
AL;2030-01-05 11:00:00;1.1674524426693993
AL;2030-01-05 12:00:00;1.1747248294259809
AL;2030-01-05 13:00:00;1.1830877249944258
AL;2030-01-05 14:00:00;1.2082526171101533
AL;2030-01-05 15:00:00;1.2410217931384468
AL;2030-01-05 16:00:00;1.267353425691972
AL;2030-01-05 17:00:00;1.2459318294409567
AL;2030-01-05 18:00:00;1.1986762426492197
AL;2030-01-05 19:00:00;1.1680203431478466
AL;2030-01-05 20:00:00;1.1559169593443728
AL;2030-01-05 21:00:00;1.1420225947442653
AL;2030-01-05 22:00:00;1.1325121531858127
AL;2030-01-05 23:00:00;1.1241435664166894
AL;2030-01-06 00:00:00;1.1179611775791156
AL;2030-01-06 01:00:00;1.1142941400803437
AL;2030-01-06 02:00:00;1.1133750711715964
AL;2030-01-06 03:00:00;1.1121672692641906
AL;2030-01-06 04:00:00;1.114181364043705
AL;2030-01-06 05:00:00;1.1235656011558781
AL;2030-01-06 06:00:00;1.1408201549902035
AL;2030-01-06 07:00:00;1.149259407019486
AL;2030-01-06 08:00:00;1.1502519042573731
AL;2030-01-06 09:00:00;1.152459711559494
AL;2030-01-06 10:00:00;1.159463012731674
AL;2030-01-06 11:00:00;1.1734991678794924
AL;2030-01-06 12:00:00;1.1808586473315204
AL;2030-01-06 13:00:00;1.1896717441001867
AL;2030-01-06 14:00:00;1.2150821589601233
AL;2030-01-06 15:00:00;1.2490299867290386
AL;2030-01-06 16:00:00;1.2764255560892774
AL;2030-01-06 17:00:00;1.2556282195835913
AL;2030-01-06 18:00:00;1.2044879123780206
AL;2030-01-06 19:00:00;1.1721300182314667
AL;2030-01-06 20:00:00;1.1593563049456708
AL;2030-01-06 21:00:00;1.1460467607203422
AL;2030-01-06 22:00:00;1.1368190370044622
AL;2030-01-06 23:00:00;1.1411321867012092
AL;2030-01-07 00:00:00;1.1344348478132302
AL;2030-01-07 01:00:00;1.1261739843323477
AL;2030-01-07 02:00:00;1.1235592865304322
AL;2030-01-07 03:00:00;1.1183307151013337
AL;2030-01-07 04:00:00;1.1173544281783978
AL;2030-01-07 05:00:00;1.122527187399219
AL;2030-01-07 06:00:00;1.126005145266118
AL;2030-01-07 07:00:00;1.1349418581710553
AL;2030-01-07 08:00:00;1.1487125157901035
AL;2030-01-07 09:00:00;1.166215170218831
AL;2030-01-07 10:00:00;1.182933726743095
AL;2030-01-07 11:00:00;1.2091748360749077
AL;2030-01-07 12:00:00;1.2216978648737882
AL;2030-01-07 13:00:00;1.2298413448752716
AL;2030-01-07 14:00:00;1.2388722030248551
AL;2030-01-07 15:00:00;1.2476094215637523
AL;2030-01-07 16:00:00;1.2376639017133544
AL;2030-01-07 17:00:00;1.2433509218201844
AL;2030-01-07 18:00:00;1.252121820536804
AL;2030-01-07 19:00:00;1.241255889848375
AL;2030-01-07 20:00:00;1.226887546374264
AL;2030-01-07 21:00:00;1.2113827052294115
AL;2030-01-07 22:00:00;1.188911608753432
AL;2030-01-07 23:00:00;1.160346569029661
AL;2030-01-08 00:00:00;1.1372820967213466
AL;2030-01-08 01:00:00;1.128905716309468
AL;2030-01-08 02:00:00;1.1261492171739327
AL;2030-01-08 03:00:00;1.1202101257855042
AL;2030-01-08 04:00:00;1.1190304437771472
AL;2030-01-08 05:00:00;1.1224177966284348
AL;2030-01-08 06:00:00;1.1247398722348783
AL;2030-01-08 07:00:00;1.1345313485619821
AL;2030-01-08 08:00:00;1.1506508978619185
AL;2030-01-08 09:00:00;1.16966288892921
AL;2030-01-08 10:00:00;1.1868151529161848
AL;2030-01-08 11:00:00;1.2116144461487306
AL;2030-01-08 12:00:00;1.2230528779615144
AL;2030-01-08 13:00:00;1.2303315877749856
AL;2030-01-08 14:00:00;1.2388534902471344
AL;2030-01-08 15:00:00;1.2471835066303953
AL;2030-01-08 16:00:00;1.2372934098833634
AL;2030-01-08 17:00:00;1.2433342585941145
AL;2030-01-08 18:00:00;1.251272067059394
AL;2030-01-08 19:00:00;1.2405128605371576
AL;2030-01-08 20:00:00;1.2269233130065613
AL;2030-01-08 21:00:00;1.2124220534219365
AL;2030-01-08 22:00:00;1.1907882876159168
AL;2030-01-08 23:00:00;1.1459542277005372
AL;2030-01-09 00:00:00;1.123425445735556
AL;2030-01-09 01:00:00;1.1184616204201943
AL;2030-01-09 02:00:00;1.1172204381387272
AL;2030-01-09 03:00:00;1.1149664396662333
AL;2030-01-09 04:00:00;1.1172829786033724
AL;2030-01-09 05:00:00;1.1277764983141825
AL;2030-01-09 06:00:00;1.1438819181342594
AL;2030-01-09 07:00:00;1.156141517184586
AL;2030-01-09 08:00:00;1.1570047236951062
AL;2030-01-09 09:00:00;1.1589632753368633
AL;2030-01-09 10:00:00;1.1668470852364297
AL;2030-01-09 11:00:00;1.1784847107102177
AL;2030-01-09 12:00:00;1.1839876455387108
AL;2030-01-09 13:00:00;1.1911175090887267
AL;2030-01-09 14:00:00;1.2156655297010426
AL;2030-01-09 15:00:00;1.2496431276514557
AL;2030-01-09 16:00:00;1.277047961047677
AL;2030-01-09 17:00:00;1.256549633958845
AL;2030-01-09 18:00:00;1.203523810372908
AL;2030-01-09 19:00:00;1.171383953186372
AL;2030-01-09 20:00:00;1.1588274474357323
AL;2030-01-09 21:00:00;1.1466519318121793
AL;2030-01-09 22:00:00;1.1380691936914633
AL;2030-01-09 23:00:00;1.1299132295189456
AL;2030-01-10 00:00:00;1.1226588604823173
AL;2030-01-10 01:00:00;1.1180947517110265
AL;2030-01-10 02:00:00;1.1169585313433654
AL;2030-01-10 03:00:00;1.1148627294315
AL;2030-01-10 04:00:00;1.1172078804284367
AL;2030-01-10 05:00:00;1.127607882810372
AL;2030-01-10 06:00:00;1.1440371989478162
AL;2030-01-10 07:00:00;1.1559285430676902
AL;2030-01-10 08:00:00;1.1564924856070007
AL;2030-01-10 09:00:00;1.1585619945737824
AL;2030-01-10 10:00:00;1.1664968761683265
AL;2030-01-10 11:00:00;1.1778051582550473
AL;2030-01-10 12:00:00;1.183157911942182
AL;2030-01-10 13:00:00;1.1898238937027954
AL;2030-01-10 14:00:00;1.2131321030641102
AL;2030-01-10 15:00:00;1.2463729088949482
AL;2030-01-10 16:00:00;1.2733540228899254
AL;2030-01-10 17:00:00;1.2530481722430382
AL;2030-01-10 18:00:00;1.2006417305165153
AL;2030-01-10 19:00:00;1.1692296453081117
AL;2030-01-10 20:00:00;1.1571805481219415
AL;2030-01-10 21:00:00;1.1453875611889517
AL;2030-01-10 22:00:00;1.1369744303495375
AL;2030-01-10 23:00:00;1.1293231095656597
AL;2030-01-11 00:00:00;1.1230279251617195
AL;2030-01-11 01:00:00;1.1181887083808477
AL;2030-01-11 02:00:00;1.1169556132811875
AL;2030-01-11 03:00:00;1.1147835828095385
AL;2030-01-11 04:00:00;1.1171179700697904
AL;2030-01-11 05:00:00;1.1276520795841052
AL;2030-01-11 06:00:00;1.1440225305007161
AL;2030-01-11 07:00:00;1.1562355350888425
AL;2030-01-11 08:00:00;1.1569299238527995
AL;2030-01-11 09:00:00;1.1590169860874302
AL;2030-01-11 10:00:00;1.1663699079093315
AL;2030-01-11 11:00:00;1.178167709194172
AL;2030-01-11 12:00:00;1.1834832526015868
AL;2030-01-11 13:00:00;1.1903064514161812
AL;2030-01-11 14:00:00;1.214160975872749
AL;2030-01-11 15:00:00;1.2475632865256703
AL;2030-01-11 16:00:00;1.2748301724559064
AL;2030-01-11 17:00:00;1.254620261232445
AL;2030-01-11 18:00:00;1.2023688314600656
AL;2030-01-11 19:00:00;1.170203676975581
AL;2030-01-11 20:00:00;1.1577234964628027
AL;2030-01-11 21:00:00;1.1454734167920804
AL;2030-01-11 22:00:00;1.1367587807381576
AL;2030-01-11 23:00:00;1.1287274111265435
AL;2030-01-12 00:00:00;1.1222471644526053
AL;2030-01-12 01:00:00;1.1173448967676614
AL;2030-01-12 02:00:00;1.1157561730828809
AL;2030-01-12 03:00:00;1.1132936189529554
AL;2030-01-12 04:00:00;1.1147597965517821
AL;2030-01-12 05:00:00;1.124212211256658
AL;2030-01-12 06:00:00;1.1401685378193065
AL;2030-01-12 07:00:00;1.1501123533503488
AL;2030-01-12 08:00:00;1.1508221739760742
AL;2030-01-12 09:00:00;1.1521229696385178
AL;2030-01-12 10:00:00;1.1596228406219415
AL;2030-01-12 11:00:00;1.171727341791838
AL;2030-01-12 12:00:00;1.17763256486986
AL;2030-01-12 13:00:00;1.1843575625476328
AL;2030-01-12 14:00:00;1.2079833535462599
AL;2030-01-12 15:00:00;1.2397272786190077
AL;2030-01-12 16:00:00;1.2650682115364993
AL;2030-01-12 17:00:00;1.2445784696704836
AL;2030-01-12 18:00:00;1.1954173115609734
AL;2030-01-12 19:00:00;1.1655761850188089
AL;2030-01-12 20:00:00;1.1543914696658661
AL;2030-01-12 21:00:00;1.14148376433597
AL;2030-01-12 22:00:00;1.1325900992587867
AL;2030-01-12 23:00:00;1.1246399185364764
AL;2030-01-13 00:00:00;1.1160854899664467
AL;2030-01-13 01:00:00;1.1132754382586563
AL;2030-01-13 02:00:00;1.1130828692761712
AL;2030-01-13 03:00:00;1.1123708696764665
AL;2030-01-13 04:00:00;1.1140442869112954
AL;2030-01-13 05:00:00;1.1227488793792726
AL;2030-01-13 06:00:00;1.1419924998913187
AL;2030-01-13 07:00:00;1.1478072296634774
AL;2030-01-13 08:00:00;1.1461645546381285
AL;2030-01-13 09:00:00;1.1463295611318967
AL;2030-01-13 10:00:00;1.1497812256716822
AL;2030-01-13 11:00:00;1.1596484466041768
AL;2030-01-13 12:00:00;1.1660878968425539
AL;2030-01-13 13:00:00;1.17319270111904
AL;2030-01-13 14:00:00;1.1940005833571863
AL;2030-01-13 15:00:00;1.2223481361207769
AL;2030-01-13 16:00:00;1.2465021742230133
AL;2030-01-13 17:00:00;1.2264585659498113
AL;2030-01-13 18:00:00;1.1867541038872054
AL;2030-01-13 19:00:00;1.1611350588521046
AL;2030-01-13 20:00:00;1.151005725379375
AL;2030-01-13 21:00:00;1.1373992993738724
AL;2030-01-13 22:00:00;1.128978289881171
AL;2030-01-13 23:00:00;1.1313270915850409
AL;2030-01-14 00:00:00;1.1260162433085144
AL;2030-01-14 01:00:00;1.1211372873906211
AL;2030-01-14 02:00:00;1.1195977637387489
AL;2030-01-14 03:00:00;1.116475055936493
AL;2030-01-14 04:00:00;1.1161210964325905
AL;2030-01-14 05:00:00;1.121086730367932
AL;2030-01-14 06:00:00;1.1371161812448125
AL;2030-01-14 07:00:00;1.1382990913867717
AL;2030-01-14 08:00:00;1.140917832530552
AL;2030-01-14 09:00:00;1.1515080042699763
AL;2030-01-14 10:00:00;1.1626316506147356
AL;2030-01-14 11:00:00;1.18350502041434
AL;2030-01-14 12:00:00;1.196419763102443
AL;2030-01-14 13:00:00;1.206060578327652
AL;2030-01-14 14:00:00;1.2177144927832118
AL;2030-01-14 15:00:00;1.2278334435082896
AL;2030-01-14 16:00:00;1.221491585415351
AL;2030-01-14 17:00:00;1.2234583181786498
AL;2030-01-14 18:00:00;1.233343500827666
AL;2030-01-14 19:00:00;1.222234442897382
AL;2030-01-14 20:00:00;1.2078191046775577
AL;2030-01-14 21:00:00;1.1909372868381796
AL;2030-01-14 22:00:00;1.169124934226071
AL;2030-01-14 23:00:00;1.1456605633233914
AL;2030-01-15 00:00:00;1.1272907433427464
AL;2030-01-15 01:00:00;1.1215483631690353
AL;2030-01-15 02:00:00;1.1197024643715132
AL;2030-01-15 03:00:00;1.116137081190289
AL;2030-01-15 04:00:00;1.1155602097287678
AL;2030-01-15 05:00:00;1.1186557841174907
AL;2030-01-15 06:00:00;1.1272419255628332
AL;2030-01-15 07:00:00;1.1309373060604366
AL;2030-01-15 08:00:00;1.1406370893606046
AL;2030-01-15 09:00:00;1.1543061645923562
AL;2030-01-15 10:00:00;1.1666605974620183
AL;2030-01-15 11:00:00;1.1899353715728942
AL;2030-01-15 12:00:00;1.202974580543748
AL;2030-01-15 13:00:00;1.2124542226138415
AL;2030-01-15 14:00:00;1.2231611281391765
AL;2030-01-15 15:00:00;1.232307783048116
AL;2030-01-15 16:00:00;1.224746232287217
AL;2030-01-15 17:00:00;1.2280292234250856
AL;2030-01-15 18:00:00;1.238064764609122
AL;2030-01-15 19:00:00;1.2270403193914818
AL;2030-01-15 20:00:00;1.2117897632699144
AL;2030-01-15 21:00:00;1.195353292853872
AL;2030-01-15 22:00:00;1.1733689721995961
AL;2030-01-15 23:00:00;1.1363759028381126
AL;2030-01-16 00:00:00;1.1169643819635404
AL;2030-01-16 01:00:00;1.1134443334351154
AL;2030-01-16 02:00:00;1.1128414708505003
AL;2030-01-16 03:00:00;1.111885504323422
AL;2030-01-16 04:00:00;1.1141062028993873
AL;2030-01-16 05:00:00;1.1225949554775194
AL;2030-01-16 06:00:00;1.1365247488209222
AL;2030-01-16 07:00:00;1.1464135419419146
AL;2030-01-16 08:00:00;1.1480040625129186
AL;2030-01-16 09:00:00;1.1508501007051255
AL;2030-01-16 10:00:00;1.157115692528908
AL;2030-01-16 11:00:00;1.1707705881054085
AL;2030-01-16 12:00:00;1.1778683151591174
AL;2030-01-16 13:00:00;1.1863269877802525
AL;2030-01-16 14:00:00;1.2111043133598183
AL;2030-01-16 15:00:00;1.2443268007970207
AL;2030-01-16 16:00:00;1.272008680372962
AL;2030-01-16 17:00:00;1.2521754510002143
AL;2030-01-16 18:00:00;1.2023020257421893
AL;2030-01-16 19:00:00;1.1704910230497585
AL;2030-01-16 20:00:00;1.1580134466692729
AL;2030-01-16 21:00:00;1.1456339530183304
AL;2030-01-16 22:00:00;1.136522006873981
AL;2030-01-16 23:00:00;1.1277831200998405
AL;2030-01-17 00:00:00;1.1218113660695173
AL;2030-01-17 01:00:00;1.1169074207302985
AL;2030-01-17 02:00:00;1.1155330835955817
AL;2030-01-17 03:00:00;1.1134459396590946
AL;2030-01-17 04:00:00;1.1156360564825758
AL;2030-01-17 05:00:00;1.12624047103393
AL;2030-01-17 06:00:00;1.1421862235720028
AL;2030-01-17 07:00:00;1.1546028172298801
AL;2030-01-17 08:00:00;1.1555540912771378
AL;2030-01-17 09:00:00;1.157283712106523
AL;2030-01-17 10:00:00;1.1653563214902027
AL;2030-01-17 11:00:00;1.1775518235987414
AL;2030-01-17 12:00:00;1.1834382603605138
AL;2030-01-17 13:00:00;1.19061909816406
AL;2030-01-17 14:00:00;1.2148818917639093
AL;2030-01-17 15:00:00;1.2481594781375795
AL;2030-01-17 16:00:00;1.275191120959199
AL;2030-01-17 17:00:00;1.2546116714377666
AL;2030-01-17 18:00:00;1.2024506328103544
AL;2030-01-17 19:00:00;1.1703441546473494
AL;2030-01-17 20:00:00;1.157861235277291
AL;2030-01-17 21:00:00;1.1456021019560896
