region_code;time;scaling_factor
AL;2024-01-01 00:00:00;1.0367371372583087
AL;2024-01-01 01:00:00;1.0358119083781543
AL;2024-01-01 02:00:00;1.035588228829769
AL;2024-01-01 03:00:00;1.0350704418385213
AL;2024-01-01 04:00:00;1.03519679838102
AL;2024-01-01 05:00:00;1.0357719959180436
AL;2024-01-01 06:00:00;1.0363786473261825
AL;2024-01-01 07:00:00;1.037232979310412
AL;2024-01-01 08:00:00;1.039238275716565
AL;2024-01-01 09:00:00;1.041647288942251
AL;2024-01-01 10:00:00;1.0438039077663788
AL;2024-01-01 11:00:00;1.0467447607755909
AL;2024-01-01 12:00:00;1.048179988773391
AL;2024-01-01 13:00:00;1.049079990357583
AL;2024-01-01 14:00:00;1.0501541316397205
AL;2024-01-01 15:00:00;1.0511354156088675
AL;2024-01-01 16:00:00;1.0497592539021614
AL;2024-01-01 17:00:00;1.050399375642915
AL;2024-01-01 18:00:00;1.0516193930177957
AL;2024-01-01 19:00:00;1.0501831311127934
AL;2024-01-01 20:00:00;1.0482521147506736
AL;2024-01-01 21:00:00;1.0460640396234342
AL;2024-01-01 22:00:00;1.043280400701165
AL;2024-01-01 23:00:00;1.0380797994595254
AL;2024-01-02 00:00:00;1.0360124376356223
AL;2024-01-02 01:00:00;1.0357508783813592
AL;2024-01-02 02:00:00;1.0359284781928617
AL;2024-01-02 03:00:00;1.0360894216893277
AL;2024-01-02 04:00:00;1.0365474354315112
AL;2024-01-02 05:00:00;1.0376309852123133
AL;2024-01-02 06:00:00;1.0393620441918967
AL;2024-01-02 07:00:00;1.040134843614416
AL;2024-01-02 08:00:00;1.0401999443935146
AL;2024-01-02 09:00:00;1.0402561885176467
AL;2024-01-02 10:00:00;1.0410180959740885
AL;2024-01-02 11:00:00;1.0420814026007392
AL;2024-01-02 12:00:00;1.042590097225062
AL;2024-01-02 13:00:00;1.0432890316699495
AL;2024-01-02 14:00:00;1.045720008908609
AL;2024-01-02 15:00:00;1.0492752782084858
AL;2024-01-02 16:00:00;1.052284164272663
AL;2024-01-02 17:00:00;1.050131027351926
AL;2024-01-02 18:00:00;1.0448200861680819
AL;2024-01-02 19:00:00;1.041331711622508
AL;2024-01-02 20:00:00;1.0399779063663146
AL;2024-01-02 21:00:00;1.0388080375496413
AL;2024-01-02 22:00:00;1.0380032576174378
AL;2024-01-02 23:00:00;1.0373975986243287
AL;2024-01-03 00:00:00;1.0377644879084829
AL;2024-01-03 01:00:00;1.0378450997081858
AL;2024-01-03 02:00:00;1.0380360823757568
AL;2024-01-03 03:00:00;1.0381295662003234
AL;2024-01-03 04:00:00;1.0384129662358705
AL;2024-01-03 05:00:00;1.0390181360790764
AL;2024-01-03 06:00:00;1.0403217770256512
AL;2024-01-03 07:00:00;1.0408227283343714
AL;2024-01-03 08:00:00;1.040718218653181
AL;2024-01-03 09:00:00;1.0407793880101261
AL;2024-01-03 10:00:00;1.0414680759339734
AL;2024-01-03 11:00:00;1.0421534526214618
AL;2024-01-03 12:00:00;1.0426392886814915
AL;2024-01-03 13:00:00;1.0433049106580263
AL;2024-01-03 14:00:00;1.0456274283853215
AL;2024-01-03 15:00:00;1.0489433764005776
AL;2024-01-03 16:00:00;1.0517467790438633
AL;2024-01-03 17:00:00;1.0494283724807083
AL;2024-01-03 18:00:00;1.0444235719167703
AL;2024-01-03 19:00:00;1.0413465798926416
AL;2024-01-03 20:00:00;1.040218695969386
AL;2024-01-03 21:00:00;1.039266856546323
AL;2024-01-03 22:00:00;1.0386508194957969
AL;2024-01-03 23:00:00;1.038306783485609
AL;2024-01-04 00:00:00;1.0380328275431363
AL;2024-01-04 01:00:00;1.0379095749149623
AL;2024-01-04 02:00:00;1.0379926933601968
AL;2024-01-04 03:00:00;1.0379309697780266
AL;2024-01-04 04:00:00;1.0381484819363909
AL;2024-01-04 05:00:00;1.0388388236803996
AL;2024-01-04 06:00:00;1.040265508364843
AL;2024-01-04 07:00:00;1.0405926071195712
AL;2024-01-04 08:00:00;1.0404321660648796
AL;2024-01-04 09:00:00;1.0403635505146043
AL;2024-01-04 10:00:00;1.0409648655586508
AL;2024-01-04 11:00:00;1.0417226133317705
AL;2024-01-04 12:00:00;1.04221406562118
AL;2024-01-04 13:00:00;1.043037675289075
AL;2024-01-04 14:00:00;1.0458814232217777
AL;2024-01-04 15:00:00;1.0498192449502408
AL;2024-01-04 16:00:00;1.0530470049329779
AL;2024-01-04 17:00:00;1.0503764351701028
AL;2024-01-04 18:00:00;1.0447219273873263
AL;2024-01-04 19:00:00;1.04115459482251
AL;2024-01-04 20:00:00;1.0397645358663188
AL;2024-01-04 21:00:00;1.0385112750875145
AL;2024-01-04 22:00:00;1.0377390226565386
AL;2024-01-04 23:00:00;1.0371287002460856
AL;2024-01-05 00:00:00;1.0368619331458577
AL;2024-01-05 01:00:00;1.0366305085877172
AL;2024-01-05 02:00:00;1.0366639959965922
AL;2024-01-05 03:00:00;1.0366147587325325
AL;2024-01-05 04:00:00;1.0369039729887295
AL;2024-01-05 05:00:00;1.0377598503404732
AL;2024-01-05 06:00:00;1.039389015360354
AL;2024-01-05 07:00:00;1.0398993363453743
