Bus,busmap
0,US0 65
10000,US0 0
10002,US0 0
10003,US0 0
10005,US0 0
10006,US0 68
10007,US0 68
10008,US0 98
10011,US0 0
10012,US0 98
10013,US0 98
10016,US0 98
10017,US0 98
10018,US0 0
10019,US0 0
10020,US0 0
10021,US0 0
10022,US0 68
10023,US0 0
10024,US0 68
10025,US0 68
10026,US0 68
10027,US0 68
10028,US0 42
10029,US0 68
1003,US0 27
10030,US0 42
10032,US0 68
10033,US0 42
10037,US0 42
10041,US0 36
10042,US0 36
10044,US0 36
10045,US0 60
10047,US0 71
10048,US0 71
10050,US0 60
10052,US0 60
10055,US0 71
10057,US0 71
10059,US0 60
1006,US0 28
10062,US0 11
10064,US0 11
10065,US0 71
10066,US0 60
10067,US0 71
10068,US0 60
10070,US0 71
10072,US0 60
10073,US0 60
10075,US0 60
10077,US0 71
10079,US0 60
10080,US0 60
10082,US0 36
10084,US0 36
10085,US0 36
10087,US0 28
10089,US0 11
1009,US0 49
10091,US0 11
10093,US0 11
10094,US0 36
10095,US0 36
10096,US0 60
10097,US0 60
101,US0 47
1010,US0 49
10100,US0 60
10101,US0 60
10103,US0 60
10104,US0 60
10105,US0 11
10107,US0 36
10108,US0 36
10110,US0 36
10113,US0 11
10114,US0 36
10115,US0 71
10117,US0 71
10119,US0 71
10120,US0 71
10121,US0 71
10122,US0 36
10123,US0 71
10124,US0 60
10127,US0 60
10128,US0 60
1013,US0 64
10131,US0 60
10132,US0 60
10134,US0 11
10136,US0 71
10138,US0 71
10140,US0 36
10142,US0 36
10144,US0 36
10145,US0 36
10147,US0 36
10148,US0 36
10152,US0 71
10154,US0 71
10156,US0 71
10157,US0 71
1016,US0 82
10160,US0 71
10162,US0 36
10165,US0 60
10167,US0 71
10169,US0 11
1017,US0 82
10171,US0 36
10173,US0 36
10175,US0 36
10178,US0 60
10180,US0 36
10181,US0 36
10184,US0 36
10185,US0 60
10186,US0 36
10189,US0 71
10190,US0 28
10192,US0 71
10194,US0 11
10196,US0 71
10198,US0 36
1020,US0 64
10200,US0 11
10201,US0 60
10202,US0 36
10205,US0 36
10207,US0 5
10208,US0 5
10209,US0 27
1021,US0 49
10211,US0 34
10212,US0 34
10217,US0 34
10220,US0 34
10222,US0 34
10224,US0 34
10225,US0 34
10226,US0 15
10227,US0 79
10228,US0 79
10230,US0 79
10232,US0 79
10233,US0 48
10234,US0 79
10236,US0 15
10237,US0 36
10239,US0 36
1024,US0 44
10242,US0 36
10243,US0 79
10245,US0 79
10246,US0 79
10247,US0 79
10249,US0 79
10250,US0 79
10251,US0 79
10252,US0 79
10253,US0 79
10254,US0 15
10256,US0 15
10257,US0 15
10258,US0 15
1026,US0 26
10260,US0 48
10263,US0 48
10264,US0 48
10265,US0 48
10266,US0 48
10268,US0 48
10269,US0 15
10270,US0 48
10271,US0 36
10272,US0 79
10274,US0 79
10276,US0 15
10277,US0 48
10278,US0 15
10279,US0 69
10280,US0 69
10281,US0 69
10282,US0 69
10283,US0 69
10285,US0 15
10286,US0 79
10287,US0 15
10288,US0 48
1029,US0 44
10290,US0 48
10292,US0 48
10293,US0 15
10295,US0 48
10298,US0 69
10299,US0 79
10300,US0 15
10301,US0 15
10303,US0 15
10305,US0 48
10306,US0 15
10307,US0 79
10308,US0 15
10309,US0 69
10310,US0 69
10311,US0 69
10312,US0 69
10313,US0 69
10315,US0 69
10316,US0 88
10317,US0 88
10318,US0 88
10319,US0 88
10320,US0 50
10321,US0 82
10322,US0 82
10323,US0 82
10324,US0 82
10325,US0 82
10328,US0 33
10329,US0 88
10330,US0 82
10331,US0 88
10333,US0 88
10335,US0 88
10337,US0 82
1034,US0 57
10342,US0 82
10343,US0 88
10345,US0 88
10346,US0 88
10347,US0 88
10349,US0 82
10350,US0 82
10352,US0 33
10354,US0 33
10356,US0 33
10357,US0 92
1036,US0 86
10360,US0 33
10361,US0 33
10363,US0 33
10364,US0 82
10365,US0 88
10367,US0 3
10368,US0 3
10371,US0 82
10372,US0 88
10374,US0 50
10376,US0 50
10378,US0 33
1038,US0 86
10380,US0 3
10382,US0 33
